"f","r","K","q"
-3.143418789203,0.11115914137738,68242.6541834183,0.00000885492217812484
-3.14341853588553,0.111159132884202,68242.6541834183,0.00000885492217812484
-3.14341885253045,0.11115914137738,68242.6526368946,0.00000885492217812484
-3.14341882714332,0.11115914137738,68242.6541834183,0.00000885492154709844
-3.15943900129789,0.111684647623798,68024.7510114644,0.00000885815548536199
-3.15943855611278,0.111684639210585,68024.7510114644,0.00000885815548536199
-3.15943915072112,0.111684647623798,68024.752549635,0.00000885815548536199
-3.15943917841376,0.111684647623798,68024.7510114644,0.00000885815613515836
-3.20596674594024,0.112825606881873,67853.7282828431,0.00000889862565455357
-3.3085557457032,0.115540893773702,67179.604283232,0.00000899511522075019
-3.74988607924883,0.127730483585947,64409.3738452063,0.00000941370897573871
-2.53697782574612,0.190763303858297,54426.4914562493,0.0000112917438898765
-3.74988609269072,0.127730472855603,64409.3738452063,0.00000941370897573871
-3.74988638228229,0.127730483585947,64409.3722467514,0.00000941370897573871
-3.74988618305304,0.127730483585947,64409.3738452063,0.000009413708262107
-3.94507086561347,0.166779941513086,57630.3907049236,0.0000106528072365074
-3.94506914792173,0.166779947912023,57630.3907049236,0.0000106528072365074
-3.9450694444876,0.166779941513086,57630.3914101921,0.0000106528072365074
-3.94506967694593,0.166779941513086,57630.3907049236,0.0000106528078134122
-4.42545578544311,0.147993251799142,60166.4195284592,0.0000102038709461072
-4.42545542183472,0.147993258311309,60166.4195284592,0.0000102038709461072
-4.42545524964589,0.147993251799142,60166.4204532908,0.0000102038709461072
-4.42545532095602,0.147993251799142,60166.4195284592,0.0000102038716318483
-4.83246700570337,0.158892761716681,57981.068388547,0.0000106393977792284
-4.83246654805136,0.158892770629985,57981.068388547,0.0000106393977792284
-4.83246632322703,0.158892761716681,57981.0695557745,0.0000106393977792284
-4.83246647302977,0.158892761716681,57981.068388547,0.0000106393986452297
-5.8839660620047,0.210641340392517,50003.7280365126,0.0000126242145100172
-5.88396232928654,0.210641354233484,50003.7280365126,0.0000126242145100172
-5.88396268585225,0.210641340392517,50003.7293201072,0.0000126242145100172
-5.88396382823479,0.210641340392517,50003.7280365126,0.0000126242157413954
-7.55869477972464,0.247390921946612,44879.5456642118,0.0000144999302633568
-7.55869272357438,0.247390935196996,44879.5456642118,0.0000144999302633568
-7.55869247564522,0.247390921946612,44879.5467146419,0.0000144999302633568
-7.55869257276252,0.247390921946612,44879.5456642118,0.0000144999317170035
10.601615884927,0.497449207107141,29055.6447995525,0.0000234444838550277
-6.97206922495641,0.266586337001124,42243.4469029127,0.0000152724488340483
-5.8702350737276,0.253173087491534,43511.8818022564,0.0000147409739405324
-6.98970288342731,0.24644029905248,44438.6505988049,0.0000144679531952923
-7.77669834112493,0.247070877138554,44730.8136425539,0.0000144891704530178
-7.77669892195487,0.247070894863745,44730.8136425539,0.0000144891704530178
-7.77669797420205,0.247070877138554,44730.8152376053,0.0000144891704530178
-7.77669707010618,0.247070877138554,44730.8136425539,0.0000144891723683919
-7.80322033168356,0.247562002584023,44624.8789110064,0.0000144613997085015
-7.80321940575558,0.247561994221372,44624.8789110064,0.0000144613997085015
-7.80322083813906,0.247562002584023,44624.8797128224,0.0000144613997085015
-7.80322000219225,0.247562002584023,44624.8789110064,0.0000144614012143957
-7.87041499725252,0.249072869487977,44531.2173155001,0.0000145106299971651
-7.87041476069287,0.249072861254992,44531.2173155001,0.0000145106299971651
-7.8704151670213,0.249072869487977,44531.2165487883,0.0000145106299971651
-7.87041423592394,0.249072869487977,44531.2173155001,0.0000145106314083143
-7.9658828224182,0.251831634049354,44191.705169212,0.0000145929839721005
-8.20640886588325,0.259429539228536,43393.3388105406,0.0000149022455079429
-9.04932437419592,0.292749930076147,40293.6486187692,0.0000162283869528979
8.33102808867527,0.475022124097536,29900.1513470138,0.0000227565807687447
-9.04932606224669,0.292749920139149,40293.6486187692,0.0000162283869528979
-9.04932244881898,0.292749930076147,40293.6493461687,0.0000162283869528979
-9.04932251601165,0.292749930076147,40293.6486187692,0.000016228388785686
-9.19087010573641,0.343318925159598,36395.3333195415,0.0000181786615587826
-9.1908652168781,0.34331893355409,36395.3333195415,0.0000181786615587826
-9.19086550574994,0.343318925159598,36395.3338177949,0.0000181786615587826
-9.1908666115086,0.343318925159598,36395.3333195415,0.0000181786634547684
-10.3040298707543,0.334752119698655,36840.2056289567,0.0000176925705169528
-10.3040288581675,0.334752126527702,36840.2056289567,0.0000176925705169528
-10.3040287823516,0.334752119698655,36840.2060776717,0.0000176925705169528
